date,company,title,location,salary,benefits,description,website
Employer reviewed job 18 days ago,TECH AVEEV LLC,Data Analyst,Remote,Part-time +2,,"Develop data solutions to support business needs and data-driven decisions · Work with stakeholders to understand their data needs and turn vague one-liner requests into actionable, testable requirements · Analyze complex data that requires consideration of multiple factors to interpret the information · Collaborate with process owners to understand data definitions appropriate to each use case · Document data definitions, derivations, flows, and dependencies between source systems · Use SQL to explore, extract, and analyze data, including historical data · Define data sources and criteria needed to support reporting and data integrations · Assess data quality and completeness · Identify causes of data discrepancies and develop solutions to address them · Propose solutions to collect or derive new data points to support metrics and identify trends · Propose data structure, transformation, and flow for new data sources · Develop complex SQL to derive and transform data from multiple sources · Write requirements and technical specs for reports, analytics, and dashboards · Serve as a resource to Business Analysts and Developers for data-related needs Job Types: Part-time, Contract, Temporary COVID-19 considerations: as per company guidelines Experience: ERP systems, e.g., PeopleSoft, Deltek: 1 year (Preferred) data analysis: 8 years (Preferred) complex SQL queries: 8 years (Preferred) SQL skills,Statistical Analysis, Probability Analysis: 8 years (Preferred) Predictive analytics/forecasting: 8 years (Preferred) database design principles: 8 years (Preferred) data warehouse, data mart, ETL: 8 years (Preferred) Web services concepts: 8 years (Preferred) articulate requirements: 8 years (Preferred) data, desire to learn new concepts: 8 years (Preferred) changing requests and priorities: 8 years (Preferred) documentation skills,Predictive analytics/forecasting: 8 years (Preferred) Work Location: Remote",https://www.indeed.com/company/TECHAVEEV/jobs/Data-Analyst-aefb95ce552b2da1?fccid=8d0166ee5b67b527&vjs=3
Posted 21 days ago,NuWest Group,Data Analyst,"San Diego, CA","$3,000 a week",,"Data Analyst needed at two sites in San Diego and Moreno Valley. Must have excellent Excel Skills, critical thinking and report generating skills. This is a contract position and you must be fully vaccinated with your booster. You will be requested to complete an assessment for Excel. Bilingual is preferred. You will be working with Title 42 recipients waiting for asylum status. You will be coordinating transportation for these recipients between medical appointments, lodging, legal consultations etc. Will need to track and document in multiple spread sheets. Will need to be able to make spur of the moment adjustments based upon availability. Extremely faced paced, supporting and coordinating approximately 1,000 individuals. TVRC/NCS Contract Staff Shelter Worker Required Skills o Proficiency in Microsoft excel o Ability to evaluate and process data in multiple formats o Willingness to work within multiple safe, non-traditional office environments Will be supporting Salvation Army #IND-CORE 63241 Job Types: Full-time, Contract Pay: $3,000.00 per week Schedule: 10 hour shift 12 hour shift 8 hour shift Weekend availability Ability to commute/relocate: San Diego, CA: Reliably commute or planning to relocate before starting work (Required) Work Location: One location",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWCPMblvXmg65e051I_4RS2vwM3HfOIbdzHgj0Ry8eUTX2grtM8WtZI4sdznjSVQaJl0EXReyrlUYdPmWsj-U9wL0IO8e4onljyvTsrQJuyRPyRmqTl7TF1Odd7qj-ACgufENZ7kyDVtqpGGj7wZMvAW1nkhMBgUQ3FN3svX1DUVPv5srn1nF6c74vZ2VhkngmA4DttNG6RLhMBbsyaWFrUc8_LLSru4dcgq7RmzRfXWuivA8fQ217t7cxdUneIcQLLT1H7UW_AJP4UH1KqaWrT3f6KJAGQ__wXBGNo8FVhlE-S7Is2_oOgjx0z3IEmN0bj06oU5hqAlJHaXAjeGieXyFp-1bMI9b6WpR1nF5WjSOE3EvW7fJFtztcT1mMPyCGXPuwa3DYcH5Zbc_wD3gYQ_4Uq9V6vHytB7nMIC6AGh1McXt_gucOSYbteSH5a9y2CD7eSAxpnZzfdK-4115TySNPEVQefPtFTHBsXB07eA==&xkcb=SoCy-_M3bC293B0yl50LbzkdCdPP&p=1&fvj=1&vjs=3
,Mayo Clinic,Data Science Analyst- Remote,"Jacksonville, FL 32224 (Beach Haven area)+1 location","$89,773 - $134,638 a year",,"Why Mayo Clinic Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2021-2022) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you’ll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you’ll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!  Mayo Clinic offers a variety of employee benefits. For additional information please visit Mayo Clinic Benefits. Eligibility may vary.  Position description Data Scientists at Mayo Clinic perform detailed analysis of large bodies of heterogeneous data in order to discover new patterns and insights having an impact upon patient health and augmenting human capabilities. Candidate has expertise in AI, machine learning, deep learning, statistical data processing, regression techniques, neural networks, decision trees, clustering, pattern recognition, probability theory and data science methods used to analyze data. May work with knowledge architects, informaticians and clinicians at Mayo, and partner outside companies to develop and deploy applications to bring AI and analytic solutions to nontechnical users, often at the point of care. Applies and modifies existing scripts or software applications to support data management, data extraction, data analysis, and AI as required May develop predictive models on datasets to address various business problems by leveraging statistical modeling, operations research, machine learning, or data mining techniques. May provide Consultative Services to departments/divisions and/or support scientific projects under the guidance of a designated senior level data scientist.  Other responsibilities: Provides data insights for business problems that can be approached with analytics techniques to collect, explore, and extract insights from structured and unstructured data. Has expertise in the data science methods used to analyze data, and knowledge of data types, topics, and scientific challenges and approaches. Executes analytical procedures in the framework of a specific project work request. Creates or modifies scripts or software applications to support data management, data extraction and data analysis as required. Contributes to the interpretation of data analysis and to writing reports. Helps customers understand the data set and provide training and suggestions for improvement on the data request. Leverages communication and interpersonal skills and works with subject matter experts Presents findings in easy to understand terms for the business or clinical practice.  Qualifications A Bachelor’s degree in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative and a minimum of three years of professional or research experience in data science will be considered. The preferred candidate will possess a Master’s degree in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative field and a minimum of one year of professional or research experience in data  Additional qualifications Demonstrated ability to develop predictive models to address various business problems through leveraging advanced statistical modeling, machine learning, or data mining techniques. May provide consultative services to departments/divisions and committees. Demonstrated application of several problem-solving methodologies, planning techniques, continuous improvement methods, and analytical tools and methodologies (e.g. machine learning, statistical packages, modeling, etc.) required. Incumbent must have ability to manage a varied workload of projects with multiple priorities and stay current on healthcare trends and enterprise changes. Interpersonal skills and time management skills are required. Requires strong analytical skills and the ability to identify and recommend solutions, advanced computer application skills and a commitment to customer service. Experience with data modeling and date exploration tools.  Exemption status Exempt  Compensation Detail $89,772.80- $134,638.40/ year  Benefits eligible Yes  Schedule Full Time  Hours / Pay period 80  Schedule details Typical hours are Monday-Friday, 8 am- 5 pm  Weekend schedule Not scheduled  Remote Yes  International Assignment No  Site description Jacksonville is the largest city in area in the continental United States. A beautiful coastal Florida city that features excellent year-round climate, over 20 miles of beaches and outstanding outdoor recreational, cultural and family-oriented amenities. The “River City by the Sea” has an excellent school system, reasonable cost of living and a thriving business environment. Medical professionals and patients are drawn to Jacksonville by an extraordinary network of high-profile healthcare facilities. Jacksonville continues to grow as more people relocate from all over the U.S. and abroad, to see what the great River City has to offer!  Recruiter Chelsea Crosby  EOE As an Affirmative Action and Equal Opportunity Employer Mayo Clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. Women, minorities, veterans, people from the LGBTQ communities and people with disabilities are strongly encouraged to apply to join our teams. Reasonable accommodations to access job openings or to apply for a job are available.",https://www.indeed.com/viewjob?jk=4e6f400d7098b17e&fccid=26877094797beef3&vjs=3
,Michael Page,Remote Data Manipulation Analyst,"Remote in Bensalem, PA","$100,000 - $120,000 a year",Paid time off,"You gain access to databases of acquired systems and extract data from it You will work to format and reformat the data you extract You will convert the data into one of the existing systems  MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants. You have experience with a variety of databases You have data manipulation experience You have an understanding of the business implications of the data The client is in the customer service industry and is one of the largest names in its niche. They are dedicated to providing the best possible service for their customers. Base salary ranging from $100,000-$120,000 Work remotely from New York, New Jersey, or Pennsylvania Good benefits and PTO Great company culture and work-life balance Click Apply to have your resume considered",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BR3ykMnr3Vw97HK5IC0i9Uo32NXohanwqRY-CI8z69bl4xOa6Yve6w6NlWd53uNOefUWcqUSg5n6KDhNjRBVWAWZER6m92rZV78ZuBJYnDTh9qoBcnG91KcdjeXTVEfqj7iUZ77f5i578Cys8tRbr01GkykNpGzE4ryJZs7q_Ggobdeb3cycn6AGupIX81bDtPEgqH1qSM487NFCfaYQ2su2M-Hd2U-srgmDhXezYB0QoiEpKdaK-LhWDAOU-bDqgkbwJSeDvpZr5jNAuvvm5BFxCzsE_pMQa5J0ICjNG7d14W4nbe1FrH_9HUzvBxF_gDeGDmp8IDcyZEusEkj_7n-zL2swRU9G0wwgaXHDVAaq3QGhroTlvHnSyDxFFzdBjA6YOALzJiJsfIb78O5jJuYcopixKFKXqcNzbfWbK4vlWAIuzGhKj-xbcJJ4BlQIfy_XwV8_6u52eDlfJlbtN9PVcaxfbCkkme2-fDF8Nig1WsABBYWnjeeWxFYQP105-UqMp4nf09nBzrP1KYjGi6RuEpTBW5RmZVmDp8-WAMWN7eRe2vPYjkjdRaWT6HzWaiu0QkbO9DpgEg92aQmfOynER97vG2oHsAkVRL9lnQeGNgl-gDq0FFiWolVOZd72idqZSmQOEKq-q-MFIjOB_OvsbJaE0T_i01XHvBr4vZCdLwFEyCrzryFX1-zS31VRQvH0JiXCDxFGBqNTMVrkjnUZqC2P9p3Iro8Yk89yqRcphUXSvfeIgoAyu6fPge7iIYU6umO5mxB1VsnaIsrnI0gVNdLI-4NjCt4vncoVF9qtdLkHWqAQ5nBVGIrTe403HARGxzWQGesQuhWkM7Ewxq1cirqL2pprRrKDSMEeaIJbRgRG7huiVQ-gF4bVM1lJJSWk70O27RUVCuR_EVD4Tg2Pu3juGjr0LmZ0eSP2vvZsaG_Xke6UgkI5znndnmIQejQMlyJpFtjrLh_7TCB7_Sx3RethPAMLJbe2EYs5AaGJZiCP_dEO1VNUme3Tt6CZl4KAJd77OffEcb6xnVD9Y8HPS3948ZI_tKk7bFbpUKhG0osSumW-M1&xkcb=SoA8-_M3bC293AUyl50LbzkdCdPP&p=3&fvj=0&vjs=3
Posted 30+ days ago,Insight Global,Data Analyst,"San Francisco Bay Area, CA+1 location",$50 - $60 an hour,401(k) Dental insurance Health insurance Vision insurance,"We are looking for a Data Analyst to work for a leader in the utility industry. We are regionalizing the data efforts and need individuals to help customers articulate their information and pull data trends based off what construction providers are doing business with this end client. You will be specifically looking at how much completed work is ready for construction vs work being asked b the general contractors. In this role you will work closely with the stakeholders to understand historic data and find ways to forecast futures statistics while representing them in Power BI Dashboards. We need someone that can provide reasoning and different insights while guiding them on new ideas and strategies. Job Types: Full-time, Contract Pay: $50.00 - $60.00 per hour Benefits: 401(k) Dental insurance Health insurance Vision insurance Schedule: 8 hour shift Work Location: Multiple Locations",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBCuXZAtggzO9lWFPdGsiWEnXBor13CkSjM571yzk5tqBdUXZ4WIT7HoFHQVNGrDzpD_0WO3zBbb-t1oRezdHQe7TXmJYM0PQbR7JPGkEZ3VrrDuuaFIEVqWFYs22GZGLBtk0l6yDMVaPokwZYZU7Njauwl15MzMWHGfGyi7w3wF9wEacPeVRQimULR2xi4zC3gJ6uzEyzlGNFQ5fwtU6lkHQgJ_R3D3hUQsyLnnhTmMLznCOWnr4QoHcBniZ0emkM-NExO5v2yfWPOX2soKihfG-e7MQCtCKiSTjCcVKl3JqT3OyjmK5ZZJLcpcS34zA4ow5IZ3kh6S9kecnlp5upKrNE6NSuEZNYo5Y0Y7FP_MRpYwBK6VzlY7IhiDjXn7Y3_YsaNQql3f7t7imWP4_p3N5lTMZy89BzAz1-pY5tiwKZQKuQ4WOvDo3KuvvV3bBrhQ==&xkcb=SoAV-_M3bC293AUyl50JbzkdCdPP&p=4&fvj=1&vjs=3
Employer reviewed job 3 days ago,AGM Tech Solutions,Looker Data Analyst,Remote,$70 - $75 an hour,,Looker SQL Data Reports Dashboards Job Type: Contract Salary: $70.00 - $75.00 per hour Schedule: 8 hour shift Work Location: Remote,"https://www.indeed.com/company/AGM-Tech-Solutions,-LLC/jobs/Looker-Data-Analyst-ccaf54823ef26c92?fccid=e7a7be52239a678b&vjs=3"
Urgently hiring,Emonics LLC,Entry level Data Analyst,+1 locationRemote,$40 - $60 an hour,,"Responsibilities Collaborate with Healthcare analytics business and data SMEs to profile, analyze, and model data, including creating logical mapping of source data into target data models, based on the existing business process and data/reporting requirements. Create conceptual and logical data models Drive data analysis and modeling efforts (conceptual, logical and physical models), either as the lead modeler, sole modeler, or as member of a team of data modelers/architects, as appropriate given the specific project situation and team makeup. * Qualifications Experience modeling detailed logical healthcare provider data sourced from EMR/EHR systems. Experience profiling and mapping healthcare provider data which originates within EMR/EHR systems. Very strong SQL query language skills Strong verbal and written communication skills Strong consulting experience Experience working with 1 or more enterprise class data modeling tools, such as Erwin or IBM Data Modeler Must be available and able to work as a full time PRFT employee Nice To Have Experience working with IBM's Unified Data Model for Healthcare data model Experience implementing data and analytics solutions on modern technologies such as AWS, Snowflake, Talend, and Kafka Job Type: Contract Pay: $40.00 - $60.00 per hour Schedule: 8 hour shift Experience: SQL: 1 year (Preferred) Work Location: Remote",https://www.indeed.com/company/Emonics/jobs/Entry-Level-Data-Analyst-c8f5ab9750e32e16?fccid=b3b4a6a45c149841&vjs=3
,Braintrust,Data Analyst [Remote],"Remote in San Francisco, CA",$90 - $100 an hour,,"ABOUT US: Braintrust is the only network that gives in-demand talent all the freedom of freelance with all the benefits, community and stability of a full-time role. As the first decentralized talent network, our revolutionary Web3 model ensures the community that relies on Braintrust to find work are the same people who own and build it through the blockchain token, BTRST. So unlike other marketplaces that take 20% to 50% of talent earnings, Braintrust allows talent to keep 100% of earnings and to vote on key changes to improve the network. Braintrust is working to change the way freelance works – for good. JOB TYPE: Contract Position - W2 (no agencies/C2C - see notes below) LOCATION: United States only - Remote - Work anytime. HOURLY RANGE: Our client is looking to pay $90 – $100/hr ESTIMATED DURATION: 40h/week - Long-term THE OPPORTUNITY W2 role - US Only - Long term contract. Top Skills AWS MySQL Python  What you'll be working on Data Analyst: Strong skill in data query, profiling, data mapping, domain knowledge gathering and data modeling (SQL, Python, data related services in AWS) Good at solving data problems through rigorous analysis and highly collaborative to share thoughts with others Great documentation skill and communication skill to express ideas effectively and interact professionally with others Experience on operating in agile (scaled Agile) setting. Apply Now!  ABOUT THE HIRING PROCESS: Qualified candidates will be invited to do a screening interview with the Braintrust staff. We will answer your questions about the project, and our platform. If we determine it is the right fit for both parties, we'll invite you to join the platform and create a profile to apply directly for this project. C2C Candidates: This role is not available to C2C candidates working with an agency. If you are a professional contractor who has created an LLC/corp around their consulting practice, this is well aligned with Braintrust and we'd welcome your application. Braintrust values the multitude of talents and perspectives that a diverse workforce brings. All qualified applicants will receive consideration for employment without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or protected veteran status.",https://www.indeed.com/viewjob?jk=e057596f0b1ee4e2&fccid=cffd065f9ff9e672&vjs=3
Employer reviewed job 2 days ago,Talentheed Inc,Entry Level Data Analyst,"New York, NY 10001 (Chelsea area)+1 location","$70,000 - $90,000 a year",401(k) Dental insurance Health insurance Paid time off Visa sponsorship Vision insurance,"Responsibilities: Performs scheduling and material analysis for Production Supports inventory analytics and optimization Gathers and interprets relevant data (productivity, costs, supply patterns, etc.) Investigates problems, finds root causes, and develops solutions with minimal direction Executes periodic performance reports and distributes them to stakeholders Provides analytical support for projects, continuous improvement, and cost savings Collaborates with other supply chain functions and regional partners to share best practices Supports the development and implementation of analytical tools for reporting Intermediate analytical methods, regression analysis, statistical methods, predictive analytics Able to handle pressure and stressful situations with a clear head and to meet deadlines. Other duties as assigned. Benefits: Increment would be at least a minimum of 15% every six months. Relocation charges will be provided to you during your project Medicinal, Dental and Vision benefits following 60 days of business. Medical coverage qualified following 60 days of business. Present moment and long haul handicap following 60 days of work. 401k retirement benefits plan qualified following half a year of work. Only for international candidates on OPT/CPT: Employer's Confirmation Letter/CPT Letter/Offer Letter will be provided, which you need to submit to your university within 90 days of the start of your OPT. OPT Extension Letter will be provided to those candidates who are qualified for STEM extension. H1B Sponsorship will be provided to OPT and CPT candidates only once they join our client's project. Other Benefits: Pre job Training with Experienced Trainers. Assignments & Case Studies provided during training. Mock sessions before interviews Multiple interview rounds with different clients. Visa Sponsorship Training completing certificates Job Type: Full-time Salary: $70,000.00 - $90,000.00 per year Benefits: 401(k) Dental insurance Health insurance Paid time off Vision insurance Schedule: 8 hour shift Monday to Friday Work Location: One location",https://www.indeed.com/company/Talentheed-Inc/jobs/Entry-Level-Data-Analyst-310b95d200c7e832?fccid=c74998f9af9be394&vjs=3
Employer reviewed job 2 days ago,Consulting Firms,Data Analyst Position,Remote,"$65,000 - $85,000 a year",,"We are looking to hire a data analyst to join our data team. You will take responsibility for managing our master data set, developing reports, and troubleshooting data issues. To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. Data Analyst Responsibilities: Managing master data, including creation, updates, and deletion. Managing users and user roles. Provide quality assurance of imported data, working with quality assurance analysts if necessary. Commissioning and decommissioning of data sets. Processing confidential data and information according to guidelines. Helping develop reports and analysis. Managing and designing the reporting environment, including data sources, security, and metadata. Supporting the data warehouse in identifying and revising reporting requirements. Supporting initiatives for data integrity and normalization. Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems. Generating reports from single or multiple systems. Troubleshooting the reporting database environment and reports. Evaluating changes and updates to source production systems. Training end-users on new reports and dashboards. Providing technical expertise in data storage structures, data mining, and data cleansing. Data Analyst Requirements: Bachelor’s degree from an accredited university or college in computer science. Work experience as a data analyst or in a related field. Ability to work with stakeholders to assess potential risks. Ability to analyze existing tools and databases and provide software solution recommendations. Ability to translate business requirements into non-technical, lay terms. High-level experience in methodologies and processes for managing large-scale databases. Demonstrated experience in handling large data sets and relational databases. Understanding of addressing and metadata standards. High-level written and verbal communication skills. Job Types: Full-time, Part-time, Contract Pay: $65,000.00 - $85,000.00 per year Schedule: 4 hour shift 8 hour shift Experience: SQL: 1 year (Preferred) Work Location: Remote",https://www.indeed.com/company/DAPA-Solutions/jobs/Data-Analyst-Position-8e7e1f78fc45d1be?fccid=e9d7b3c351f948cf&vjs=3
